month,Rocky Mountain
2010-01,64618
2010-02,44576
2010-03,70117
2010-04,69097
2010-05,180710
2010-06,441738
2010-07,668418
2010-08,574638
2010-09,461942
2010-10,245770
2010-11,67862
2010-12,66335
2011-01,68641
2011-02,50540
2011-03,73760
2011-04,77183
2011-05,163587
2011-06,500733
2011-07,743741
2011-08,620534
2011-09,483780
2011-10,264617
2011-11,68076
2011-12,61749
2012-01,68537
2012-02,62036
2012-03,104374
2012-04,117053
2012-05,228950
2012-06,500206
2012-07,651722
2012-08,589131
2012-09,527172
2012-10,219946
2012-11,93714
2012-12,66776
2013-01,78022
2013-02,68831
2013-03,89691
2013-04,90379
2013-05,239184
2013-06,602508
2013-07,712583
2013-08,621852
2013-09,253467
2013-10,66275
2013-11,86379
2013-12,81970
2014-01,77633
2014-02,76881
2014-03,99077
2014-04,97100
2014-05,220532
2014-06,538725
2014-07,693685
2014-08,616826
2014-09,537694
2014-10,305651
2014-11,90915
2014-12,80032
2015-01,98928
2015-02,85123
2015-03,134304
2015-04,116959
2015-05,259711
2015-06,608796
2015-07,858426
2015-08,765579
2015-09,644350
2015-10,371558
2015-11,118398
2015-12,93784
2016-01,115207
2016-02,105125
2016-03,135053
2016-04,129967
2016-05,285868
2016-06,700990
2016-07,912507
2016-08,772849
2016-09,711110
2016-10,398525
2016-11,158553
2016-12,91831
2017-01,95602
2017-02,98832
2017-03,145110
2017-04,158360
2017-05,263222
2017-06,741247
2017-07,885478
2017-08,782625
2017-09,681160
2017-10,332526
2017-11,140223
2017-12,112830
2018-01,111422
2018-02,84245
2018-03,156434
2018-04,151975
2018-05,305993
2018-06,720822
2018-07,931929
2018-08,798306
2018-09,784480
2018-10,312757
2018-11,125349
2018-12,106781
2019-01,118152
2019-02,99873
2019-03,146414
2019-04,160259
2019-05,280351
2019-06,698224
2019-07,973992
2019-08,830039
2019-09,752320
2019-10,374003
2019-11,123376
2019-12,113050
