month,Yellowstone
2010-01,25595
2010-02,29108
2010-03,21028
2010-04,32763
2010-05,250445
2010-06,694841
2010-07,957785
2010-08,854837
2010-09,550504
2010-10,189072
2010-11,16819
2010-12,17388
2011-01,24517
2011-02,28174
2011-03,18728
2011-04,28147
2011-05,207842
2011-06,634316
2011-07,906935
2011-08,805173
2011-09,536349
2011-10,175433
2011-11,12198
2011-12,16514
2012-01,24766
2012-02,27752
2012-03,20248
2012-04,29056
2012-05,268251
2012-06,671825
2012-07,888335
2012-08,780286
2012-09,527610
2012-10,177069
2012-11,14059
2012-12,18472
2013-01,24699
2013-02,31053
2013-03,18613
2013-04,24606
2013-05,293250
2013-06,624429
2013-07,812212
2013-08,725136
2013-09,557925
2013-10,47560
2013-11,11169
2013-12,17378
2014-01,26778
2014-02,28233
2014-03,18778
2014-04,31356
2014-05,310039
2014-06,669642
2014-07,858856
2014-08,773357
2014-09,571764
2014-10,194804
2014-11,11537
2014-12,18340
2015-01,28091
2015-02,34343
2015-03,22989
2015-04,46600
2015-05,386064
2015-06,780768
2015-07,980702
2015-08,854408
2015-09,680213
2015-10,252013
2015-11,11049
2015-12,20470
2016-01,30621
2016-02,36327
2016-03,22924
2016-04,59253
2016-05,444630
2016-06,838316
2016-07,995917
2016-08,841036
2016-09,701754
2016-10,242004
2016-11,24710
2016-12,19685
2017-01,29518
2017-02,32275
2017-03,23897
2017-04,45160
2017-05,419635
2017-06,803652
2017-07,962404
2017-08,916166
2017-09,640068
2017-10,211987
2017-11,10468
2017-12,21294
2018-01,29179
2018-02,34263
2018-03,22741
2018-04,37766
2018-05,446875
2018-06,810884
2018-07,940563
2018-08,813970
2018-09,724454
2018-10,218076
2018-11,13849
2018-12,22380
2019-01,33896
2019-02,31650
2019-03,28695
2019-04,48150
2019-05,434385
2019-06,781853
2019-07,936062
2019-08,820006
2019-09,693118
2019-10,171339
2019-11,15628
2019-12,25506
